"NAS1097length"
"Nominal","Min","Max"
"1/8in",2.8575,3.4925
"3/16in",4.28625,5.23875
"1/4in",5.715,6.985
"5/16in",7.14375,8.73125
"3/8in",8.5725,10.4775
"7/16in",10.00125,12.22375
"1/2in",11.43,13.97
"9/16in",12.85875,15.71625
"5/8in",14.2875,17.4625
"11/16in",15.71625,19.20875
"3/4in",17.145,20.955
"7/8in",20.0025,24.4475
"1in",22.86,27.94
"1 1/8in",25.7175,31.4325
"1 1/4in",28.575,34.925
"1 3/8in",31.4325,38.4175
"1 1/2in",34.29,41.91
"1 3/4in",40.005,48.895
"2in",45.72,55.88
"2 1/2in",57.15,69.85
"3in",68.58,83.82
"3 1/2in",80.01,97.79
